"pair","trial","round","trial_nr","trial_id","task","target","director","participant","speech","onset","onset_msec","offset","offset_msec"
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","start maar","00:00:07.850",7850,"00:00:08.740",8740
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","ja","00:00:09.009",9009,"00:00:09.626",9626
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","um nou het is zoals al die andere dingen een soort uh emmerachtige vorm","00:00:10.421",10421,"00:00:15.427",15427
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","ja","00:00:15.242",15242,"00:00:15.881",15881
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","aan de linkerkant","00:00:15.934",15934,"00:00:17.502",17502
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","hmhm","00:00:17.814",17814,"00:00:18.253",18253
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","zit een cilinder uh met een pentagonvorm","00:00:18.482",18482,"00:00:21.887",21887
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","en aan de onderkant zit die ovaalvormig aan de grond vast","00:00:22.158",22158,"00:00:25.477",25477
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","aan de onderkant","00:00:25.433",25433,"00:00:26.433",26433
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","ja","00:00:26.446",26446,"00:00:27.078",27078
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","aan de onderkant zit die ovaalvormig aan de grond gemonteerd","00:00:27.572",27572,"00:00:31.446",31446
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","ovaal kom","00:00:31.088",31088,"00:00:32.290",32290
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","ja en aan de achterkant","00:00:32.222",32222,"00:00:33.491",33491
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","ja","00:00:33.176",33176,"00:00:33.633",33633
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","zit een cirkel","00:00:34.139",34139,"00:00:35.114",35114
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","en zit er ook nog een klein raar dingetje op?","00:00:35.297",35297,"00:00:39.300",39300
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","ja","00:00:37.012",37012,"00:00:37.481",37481
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","een soort *breath* soort uh plopje aan","00:00:38.221",38221,"00:00:41.408",41408
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","een soort kegeltje","00:00:41.466",41466,"00:00:42.518",42518
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","oké","00:00:41.531",41531,"00:00:42.277",42277
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","is het #dertien#?","00:00:42.676",42676,"00:00:43.890",43890
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","dat moet ik zeggen toch?","00:00:44.328",44328,"00:00:45.128",45128
"013014","1.1_ref",1,"1",1,"ref",9,"B","B","uh volgens mij moet je nu inderdaad #dertien# of iets noemen en dan o] op de gele knop drukken","00:00:46.174",46174,"00:00:50.619",50619
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","oh ja tuurlijk","00:00:51.017",51017,"00:00:51.979",51979
"013014","1.1_ref",1,"1",1,"ref",9,"B","A","#dertien#","00:00:52.119",52119,"00:00:53.169",53169
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","en een ook nog waar die ligt dacht ik","00:00:55.770",55770,"00:00:58.185",58185
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","ja","00:00:57.588",57588,"00:00:58.200",58200
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","um *breath* oké","00:00:58.345",58345,"00:01:00.758",60758
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","uh wij m] oh jij moet nu omschrijven","00:01:00.857",60857,"00:01:04.192",64192
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","oh we moeten kijken of die op dezelfde plek zit hè?","00:01:04.238",64238,"00:01:06.508",66508
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","ja op dezelfde plek zit","00:01:06.013",66013,"00:01:07.137",67137
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","bij mij zit die precies in het midden","00:01:07.464",67464,"00:01:08.901",68901
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","ja","00:01:08.782",68782,"00:01:09.252",69252
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","en dan um ik denk vanaf onder *breath* op uh twintig procent van het scherm omhoog","00:01:09.835",69835,"00:01:16.433",76433
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","twintig procent maar zit er ook een vlak een figuurtje naast linksonder?","00:01:16.813",76813,"00:01:21.429",81429
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","uh ja","00:01:21.703",81703,"00:01:23.142",83142
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","zit er ook eentje naast rechtsonder bijna naast? rechts l] l] rechts naast zit er ook eentje rechts naast?","00:01:23.342",83342,"00:01:28.468",88468
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","er zit er rechts naast één zit er net iets boven","00:01:28.060",88060,"00:01:30.252",90252
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","net iets erboven","00:01:30.757",90757,"00:01:31.703",91703
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","ja","00:01:31.604",91604,"00:01:32.243",92243
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","um steekt die uit met zijn uh met *stutter*","00:01:32.792",92792,"00:01:36.702",96702
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","ja","00:01:36.738",96738,"00:01:37.565",97565
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","kommetje ernaast heeft ook twee dingetjes in het kommetje zitten","00:01:37.092",97092,"00:01:39.725",99725
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","aan de rechterkant","00:01:40.588",100588,"00:01:41.590",101590
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","nee dat denk ik niet","00:01:43.236",103236,"00:01:44.334",104334
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","nee?","00:01:44.132",104132,"00:01:44.742",104742
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","oké dan is h]","00:01:45.970",105970,"00:01:46.777",106777
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","ja erop en een bal maar","00:01:46.237",106237,"00:01:48.323",108323
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","ja erop en een bal zit aan de voorkant","00:01:47.620",107620,"00:01:50.201",110201
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","oké","00:01:48.728",108728,"00:01:49.288",109288
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","ja oké ja dat is hetzelfde","00:01:49.333",109333,"00:01:51.034",111034
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","ja dan is die hetzelfde","00:01:51.062",111062,"00:01:52.252",112252
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","nou dan zal die op dezelfde plek zitten ook","00:01:51.090",111090,"00:01:52.738",112738
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","ja","00:01:52.375",112375,"00:01:52.713",112713
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","dan doe ik rood","00:01:52.790",112790,"00:01:53.780",113780
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","uh g] je moest geel voor dezelfde plek","00:01:55.203",115203,"00:01:56.843",116843
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","oh sh] serieus? oh","00:01:56.537",116537,"00:01:58.260",118260
"013014","1.1_loc",1,"1",2,"loc",9,"B","A","mijn god oké","00:01:58.890",118890,"00:02:00.114",120114
"013014","1.1_loc",1,"1",2,"loc",9,"B","B","nou ja *breath* dat kunnen we zo wel recht trekken denk ik","00:01:59.403",119403,"00:02:02.072",122072
"013014","1.2_ref",1,"2",3,"ref",6,"A","A","um ik ben nu","00:02:01.577",121577,"00:02:03.300",123300
"013014","1.2_ref",1,"2",3,"ref",6,"A","A","oké ik uh natuurlijk een bekervormpje natuurlijk en dan aan de voorkant zit er een een bal","00:02:04.095",124095,"00:02:10.251",130251
"013014","1.2_ref",1,"2",3,"ref",6,"A","B","ja","00:02:10.172",130172,"00:02:10.776",130776
