"pair","trial","round","trial_nr","trial_id","task","target","director","participant","speech","onset","onset_msec","offset","offset_msec"
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","oh oké","00:01:01.734",61734,"00:01:02.287",62287
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","ik heb het rode vierkant dus um","00:01:02.622",62622,"00:01:04.855",64855
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","ja","00:01:04.487",64487,"00:01:05.027",65027
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","deze heeft een soort van uitsteeksel naar links oh hij staat zo op een uh *breath* soort standaard een brede standaard volgens mij is dat er maar één toch?","00:01:05.446",65446,"00:01:14.786",74786
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","ja even kijken hoor","00:01:14.767",74767,"00:01:16.379",76379
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","en hij heeft een uh cirkel aan de achterkant","00:01:16.529",76529,"00:01:18.902",78902
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","even kijken ja en aan de rechterkant zo'n kegeltje laat maar zeggen bovenop","00:01:19.515",79515,"00:01:23.516",83516
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","ja dat is hem","00:01:23.401",83401,"00:01:24.400",84400
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","en aan de linkerkant steekt ook nog iets uit","00:01:23.846",83846,"00:01:25.648",85648
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","ja","00:01:25.585",85585,"00:01:26.002",86002
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","oké","00:01:26.329",86329,"00:01:26.939",86939
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","en nou moet jij hem zeggen geloof ik","00:01:27.418",87418,"00:01:29.396",89396
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","oh ja","00:01:28.995",88995,"00:01:29.372",89372
"075076","1.1_ref",1,"1",1,"ref",9,"B","A","uh nummer #dertien#","00:01:29.446",89446,"00:01:31.005",91005
"075076","1.1_ref",1,"1",1,"ref",9,"B","B","oké geel","00:01:31.393",91393,"00:01:32.480",92480
"075076","1.1_loc",1,"1",2,"loc",9,"B","B","uh oké","00:01:34.722",94722,"00:01:36.100",96100
"075076","1.1_loc",1,"1",2,"loc",9,"B","B","als we het een beetje *breath* hij staat niet helemaal onderaan maar wel aan de onderkant van het sch] onderste helft en dan eigenlijk exact in het midden","00:01:37.106",97106,"00:01:44.436",104436
